Day,Month,Year,HRUID,GIS_ID,HRU,Area(km2),lateral_flow(m3),surface_runoff(m3),ET(m3)
31,3,1994,3,3,hru03           ,968.,.00,30.0,.302E+08
31,3,1994,4,4,hru04           ,905.,.00,28.0,.149E+08
31,3,1994,5,5,hru05           ,.209E+04,.192E+07,63.7,.194E+09
31,3,1994,6,6,hru06           ,536.,.836E+06,16.6,.424E+08
31,3,1994,7,7,hru07           ,619.,.00,19.2,.996E+07
31,3,1994,8,8,hru08           ,615.,.575E+06,18.7,.571E+08
31,3,1994,9,9,hru09           ,.143E+04,.118E+08,43.3,.108E+09
31,3,1994,10,10,hru10           ,3.58,.00,.111,.560E+05
31,3,1994,11,11,hru11           ,9.78,.00,.292,.153E+06
31,3,1994,12,12,hru12           ,2.12,.00,.652E-01,.331E+05
31,3,1994,13,13,hru13           ,.394E+04,5.02,121.,.453E+08
30,4,1994,1,1,hru01           ,5.40,.00,.162,.104E+06
30,4,1994,2,2,hru02           ,3.43,.00,.103,.706E+05
30,4,1994,3,3,hru03           ,968.,.00,.178E+06,.254E+08
30,4,1994,4,4,hru04           ,905.,.00,27.1,.788E+07
30,4,1994,5,5,hru05           ,.209E+04,62.7,61.6,.108E+09
30,4,1994,6,6,hru06           ,536.,20.0,16.0,.302E+08
30,4,1994,7,7,hru07           ,619.,.00,18.6,.688E+07
30,4,1994,8,8,hru08           ,615.,17.6,18.1,.309E+08
30,4,1994,9,9,hru09           ,.143E+04,.490E+05,41.9,.960E+08
30,4,1994,10,10,hru10           ,3.58,.00,.107,.637E+05
30,4,1994,11,11,hru11           ,9.78,.00,.283,.174E+06
30,4,1994,12,12,hru12           ,2.12,.00,.631E-01,.377E+05
30,4,1994,13,13,hru13           ,.394E+04,.00,117.,.683E+08
31,5,1994,1,1,hru01           ,5.40,.00,.167,.279E+05
31,5,1994,2,2,hru02           ,3.43,.00,.106,.305
31,5,1994,3,3,hru03           ,968.,.00,30.0,.00
31,5,1994,4,4,hru04           ,905.,.00,28.0,.00
31,5,1994,5,5,hru05           ,.209E+04,.00,63.7,.650E+07
31,5,1994,6,6,hru06           ,536.,.00,16.6,50.5
31,5,1994,7,7,hru07           ,619.,.00,19.2,.00
31,5,1994,8,8,hru08           ,615.,.00,18.7,.192E+07
31,5,1994,9,9,hru09           ,.143E+04,.00,43.3,.686E+08
31,5,1994,10,10,hru10           ,3.58,.00,.111,.317
31,5,1994,11,11,hru11           ,9.78,.00,.292,.867
31,5,1994,12,12,hru12           ,2.12,.00,.652E-01,.188
31,5,1994,13,13,hru13           ,.394E+04,.00,121.,371.
30,6,1994,1,1,hru01           ,5.40,.00,.162,.464
30,6,1994,2,2,hru02           ,3.43,.00,.103,.295
30,6,1994,3,3,hru03           ,968.,.00,29.0,.00
30,6,1994,4,4,hru04           ,905.,.00,27.1,.00
30,6,1994,5,5,hru05           ,.209E+04,.00,61.6,191.
30,6,1994,6,6,hru06           ,536.,.00,16.0,48.8
30,6,1994,7,7,hru07           ,619.,.00,18.6,.00
30,6,1994,8,8,hru08           ,615.,.00,18.1,55.9
30,6,1994,9,9,hru09           ,.143E+04,.00,41.9,130.
30,6,1994,10,10,hru10           ,3.58,.00,.107,.307
30,6,1994,11,11,hru11           ,9.78,.00,.283,.839
30,6,1994,12,12,hru12           ,2.12,.00,.631E-01,.182
30,6,1994,13,13,hru13           ,.394E+04,.00,117.,359.
31,7,1994,1,1,hru01           ,5.40,.00,.167,.479
31,7,1994,2,2,hru02           ,3.43,.00,.106,.305
31,7,1994,3,3,hru03           ,968.,.00,30.0,.00
31,7,1994,4,4,hru04           ,905.,.00,28.0,.00
31,7,1994,5,5,hru05           ,.209E+04,.00,63.7,197.
31,7,1994,6,6,hru06           ,536.,.00,16.6,50.5
31,7,1994,7,7,hru07           ,619.,.00,19.2,.00
